Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
18-034331,2018-04-18 18:51:00,19.0,2999 Wilcox Blvd,,Chattanooga,Hamilton,Mary Walker Place,,4,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.048746,-85.248374,POINT (-85.248374 35.048746),"(35.048746, -85.248374)",5,2018,4,18,18,2
18-036782,2018-04-26 00:00:00,,E Martin Luther King Blvd,,Chattanooga,Hamilton,Huston St,,1,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.0444207,-85.313301,POINT (-85.313301 35.0444207),"(35.0444207, -85.313301)",0,2018,4,26,0,3
18-041750,2018-05-09 22:10:00,22.0,Houston St,,Chattanooga,Hamilton,E Martin Luther King Blvd,,1,0,1,0,1,0,35.0,1,0,1,0,,1.0,35.044747,-85.305556,POINT (-85.305556 35.044747),"(35.044747, -85.305556)",0,2018,5,9,22,2
18-042526,2018-05-12 01:55:00,2.0,1338 Ely Rd,,Chattanooga,Hamilton,Norcross Rd,,0,0,1,1,1,0,30.0,1,0,1,0,1.0,1.0,35.0679894,-85.308402,POINT (-85.308402 35.0679894),"(35.0679894, -85.308402)",0,2018,5,12,1,5
18-043985,2018-05-16 05:28:00,5.5,3224 Brainerd Rd,,Chattanooga,Hamilton,Brainerd Rd,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.027032,-85.254178,POINT (-85.254178 35.027032),"(35.027032, -85.254178)",1,2018,5,16,5,2
18-048011,2018-05-26 22:04:00,22.0,Hixson Pike,,Chattanooga,Hamilton,Longview Dr,,0,0,0,1,1,0,45.0,1,0,1,0,1.0,1.0,35.1438846,-85.22689,POINT (-85.22689 35.1438846),"(35.1438846, -85.226890)",0,2018,5,26,22,5
18-054915,2018-06-13 22:07:00,22.0,Camden St,,Chattanooga,Hamilton,Dodson Ave,,1,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.054518,-85.260155,POINT (-85.260155 35.054518),"(35.054518, -85.260155)",0,2018,6,13,22,2
18-055432,2018-06-15 10:18:00,10.5,1515 Dodson Ave,,Chattanooga,Hamilton,Camden St,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.054131,-85.2603,POINT (-85.2603 35.054131),"(35.054131, -85.260300)",4,2018,6,15,10,4
18-056991,2018-06-19 12:25:00,12.5,Arbor Ln,,Chattanooga,Hamilton,Eller Rd,,5,0,0,0,1,0,20.0,1,0,1,0,0.0,0.0,35.094641,-85.180832,POINT (-85.180832 35.094641),"(35.094641, -85.180832)",4,2018,6,19,12,1
18-058877,2018-06-24 01:28:00,1.5,5256 Hwy 153,,Chattanooga,Hamilton,Northgate Mall Dr,,0,0,0,1,1,0,45.0,1,0,1,0,0.0,0.0,35.126395,-85.240755,POINT (-85.240755 35.126395),"(35.126395, -85.240755)",1,2018,6,24,1,6
18-061897,2018-07-02 08:05:00,8.0,Bonny Oaks Dr,,Chattanooga,Hamilton,Bonny Oaks Dr,,5,0,0,0,1,0,35.0,1,1,1,0,0.0,0.0,35.073644,-85.19034,POINT (-85.19034 35.073644),"(35.073644, -85.190340)",4,2018,7,2,8,0
18-063390,2018-07-06 01:23:00,1.5,1949 Northpoint Blvd,SR-1900,Chattanooga,Hamilton,Hwy 153,,4,0,1,0,1,0,,1,0,1,0,0.0,0.0,35.139184,-85.241889,POINT (-85.241889 35.139184),"(35.139184, -85.241889)",0,2018,7,6,1,4
18-066485,2018-07-14 15:15:00,15.5,Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,4,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.023689,-85.244503,POINT (-85.244503 35.023689),"(35.023689, -85.244503)",4,2018,7,14,15,5
