Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
19-036825,04/18/2019 09:55:00 AM,10,Market St,,Chattanooga,Hamilton,E 10th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.044862,-85.309402,POINT (-85.309402 35.044862),"(35.044862, -85.309402)",Daylight
19-037042,04/18/2019 07:00:00 PM,19,Dodson Ave,SR-911,Chattanooga,Hamilton,Rawlings St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,40,1,Clear,Yes,No,No,No,35.046597,-85.263677,POINT (-85.263677 35.046597),"(35.046597, -85.263677)",Dark - Lighted
19-037222,04/19/2019 10:00:00 AM,10,3800 Tennessee Ave,,Chattanooga,Hamilton,Saint Elmo Ave,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Clear,Yes,No,No,No,35.011069,-85.32764,POINT (-85.32764 35.011069),"(35.011069, -85.327640)",Daylight
19-039899,04/26/2019 10:44:00 PM,22.5,6236 Lee Hwy,,Chattanooga,Hamilton,Vance Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,40,1,Clear,Yes,No,No,No,35.03064,-85.183996,POINT (-85.183996 35.03064),"(35.030640, -85.183996)",Dark - Not Lighted
19-042402,05/02/2019 02:15:00 PM,14.5,14 E 7th St,,Chattanooga,Hamilton,Market St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.048214,-85.3088,POINT (-85.3088 35.048214),"(35.048214, -85.308800)",Daylight
19-043063,05/04/2019 11:30:00 PM,23.5,2500 4th Ave,,Chattanooga,Hamilton,E 25th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,30,1,Unknown,Yes,No,,,35.014365,-85.281598,POINT (-85.281598 35.014365),"(35.014365, -85.281598)",Unknown
19-044169,05/08/2019 02:40:00 PM,14.5,5110 Hixson Pike,,Chattanooga,Hamilton,North Point Blvd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,No,35.135988,-85.238801,POINT (-85.238801 35.135988),"(35.135988, -85.238801)",Daylight
19-044551,05/09/2019 01:15:00 PM,13.5,815 Young Ave,,Chattanooga,Hamilton,Dugdale st,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,25,1,Clear,Yes,No,No,No,35.065945,-85.290155,POINT (-85.290155 35.065945),"(35.065945, -85.290155)",Daylight
19-045889,05/13/2019 06:09:00 AM,6,E 42nd St,,Chattanooga,Hamilton,Dorris St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,15,1,Clear,Yes,No,,,35.001651,-85.311095,POINT (-85.311095 35.001651),"(35.001651, -85.311095)",Dawn
19-045985,05/13/2019 06:00:00 AM,6,Chandler Ave,,Chattanooga,Hamilton,W 38th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Clear,Yes,No,No,No,35.007179,-85.315154,POINT (-85.315154 35.007179),"(35.007179, -85.315154)",Dawn
19-049404,05/22/2019 03:04:00 PM,15,W Main St,,Chattanooga,Hamilton,Market St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Clear,Yes,No,No,No,35.036143,-85.307328,POINT (-85.307328 35.036143),"(35.036143, -85.307328)",Daylight
19-050169,05/24/2019 01:15:00 PM,13.5,E Martin Luther King Blvd,,Chattanooga,Hamilton,Georgia Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.045767,-85.308262,POINT (-85.308262 35.045767),"(35.045767, -85.308262)",Daylight
19-051674,05/28/2019 04:11:00 PM,16,E Main St,,Chattanooga,Hamilton,S Holtzclaw Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.028961,-85.288147,POINT (-85.288147 35.028961),"(35.028961, -85.288147)",Daylight
19-052135,05/29/2019 05:12:00 PM,17,W 10th St,,Chattanooga,Hamilton,Broad St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Clear,Yes,No,No,No,35.044816,-85.310359,POINT (-85.310359 35.044816),"(35.044816, -85.310359)",Daylight
19-054336,06/04/2019 02:20:00 PM,14.5,5307 Highway 58,,Chattanooga,Hamilton,North Hickory Valley Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,,1,Clear,Yes,No,No,No,35.103287,-85.164739,POINT (-85.164739 35.103287),"(35.103287, -85.164739)",Daylight
19-055086,06/06/2019 04:50:00 PM,17,Market St,,Chattanooga,Hamilton,Choo Choo Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Rain,Yes,No,No,No,35.03779,-85.307429,POINT (-85.307429 35.03779),"(35.037790, -85.307429)",Daylight
19-056824,06/11/2019 12:45:00 PM,13,1538 Lillian Ln,,Chattanooga,Hamilton,Wilcox Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.046372,-85.235016,POINT (-85.235016 35.046372),"(35.046372, -85.235016)",Daylight
19-057541,06/13/2019 03:10:00 PM,15,7804 E Brainerd Rd,,Chattanooga,Hamilton,Jenkins Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,15,1,Clear,Yes,No,No,No,35.008124,-85.154777,POINT (-85.154777 35.008124),"(35.008124, -85.154777)",Daylight
19-059872,06/19/2019 11:53:00 PM,24,231 E Martin Luther King Blvd,SR-231,Chattanooga,Hamilton,Houston,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,No,Yes,35.045074,-85.305802,POINT (-85.305802 35.045074),"(35.045074, -85.305802)",Dark - Lighted
