Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
19-002819,01/08/2019 06:45:00 PM,19,2500 E 5th St,,Chattanooga,Hamilton,Kilmer St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,2,Clear,Yes,No,No,No,35.035507,-85.263648,POINT (-85.263648 35.035507),"(35.035507, -85.263648)",Dark - Lighted
19-005342,01/16/2019 02:55:00 PM,15,700 Mccallie ave,,Chattanooga,Hamilton,Foster St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,25,1,Clear,Yes,No,No,No,35.0438652,-85.304042,POINT (-85.304042 35.0438652),"(35.0438652, -85.304042)",Daylight
19-008058,01/24/2019 07:01:00 PM,19,Gunbarrel Rd,,Chattanooga,Hamilton,Igou Gap Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.010064,-85.241054,POINT (-85.241054 35.010064),"(35.010064, -85.241054)",Dark - Not Lighted
19-008657,01/26/2019 05:10:00 PM,17,Brainerd Rd,,Chattanooga,Hamilton,N Moore Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,40,1,Clear,Yes,No,No,Yes,35.012954,-85.228277,POINT (-85.228277 35.012954),"(35.012954, -85.228277)",Daylight
19-009918,01/30/2019 07:34:00 PM,19.5,5500 Highway 58,SR-5500,Chattanooga,Hamilton,Hickory Valley Road,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,No,No,45,1,Clear,Yes,No,Yes,No,35.106856,-85.150596,POINT (-85.150596 35.106856),"(35.106856, -85.150596)",Dark - Not Lighted
19-010795,02/02/2019 02:30:00 PM,14.5,700 E 11th St,,Chattanooga,Hamilton,Peeples St,,Property Damage,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.040673,-85.30112,POINT (-85.30112 35.040673),"(35.040673, -85.301120)",Daylight
19-011274,02/03/2019 09:16:00 PM,21.5,5245 Hwy 153,,Chattanooga,Hamilton,153,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.126426,-85.242126,POINT (-85.242126 35.126426),"(35.126426, -85.242126)",Dark - Not Lighted
19-011406,02/04/2019 12:25:00 PM,12.5,5500 Highway 153,US-5500,Chattanooga,Hamilton,Gadd Road,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,,1,Clear,Yes,No,No,No,35.142401,-85.248276,POINT (-85.248276 35.142401),"(35.142401, -85.248276)",Daylight
19-011927,02/05/2019 07:50:00 PM,20,2100 Chamberlain Ave,,Chattanooga,Hamilton,S Kelley St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,25,1,Clear,Yes,No,No,No,35.032637,-85.271267,POINT (-85.271267 35.032637),"(35.032637, -85.271267)",Dark - Lighted
19-013051,02/08/2019 07:05:00 PM,19,5238 Highway 153,,Chattanooga,Hamilton,Northgate Mall Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.124937,-85.240093,POINT (-85.240093 35.124937),"(35.124937, -85.240093)",Dark - Not Lighted
19-013867,02/11/2019 02:30:00 PM,14.5,5873 Lake Resort Terrace,US-5873,Chattanooga,Hamilton,Lake Resort Drive,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Rain,Yes,No,No,Yes,35.110414,-85.209753,POINT (-85.209753 35.110414),"(35.110414, -85.209753)",Daylight
19-015485,02/15/2019 05:58:00 PM,18,Private Drive,,Chattanooga,Hamilton,Hixson Pike,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,,1,Rain,Yes,No,No,Yes,35.107208,-85.271691,POINT (-85.271691 35.107208),"(35.107208, -85.271691)",Daylight
19-015515,02/15/2019 07:25:00 PM,19.5,495 Riverfront Pkwy,,Chattanooga,Hamilton,W Martin Luther King Blvd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Rain,Yes,No,No,No,35.054018,-85.320627,POINT (-85.320627 35.054018),"(35.054018, -85.320627)",Dark - Lighted
19-017919,02/23/2019 01:42:00 PM,13.5,Hwy 153,SR-5764,Chattanooga,Hamilton,Hwy 153,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,,1,Rain,Yes,No,No,No,35.152975,-85.24562,POINT (-85.24562 35.152975),"(35.152975, -85.245620)",Daylight
19-018056,02/23/2019 11:04:00 PM,23,2900 Hamill Rd,,Chattanooga,Hamilton,Greenway View Drive,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,Yes,No,35,1,Rain,Yes,No,Yes,Yes,35.129734,-85.21994,POINT (-85.21994 35.129734),"(35.129734, -85.219940)",Dark - Lighted
